sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
AKL/BCDE,KL/FGHJ,1,True,True,False,False,True,False,True,True
CDL/ABEK,L/HK,1,True,True,True,True,True,False,True,True
ACKL/BDE,GIKL/,1,True,False,False,False,True,True,True,True
KL/ABCDE,I/,1,True,False,False,False,False,True,True,False
ACDKL/BE,GJ/,1,True,False,False,False,True,True,True,False
ABCKL/DE,HIKL/,1,True,False,False,False,True,True,True,True
CKL/ABDE,GIJ/F,1,True,True,False,False,True,True,True,False
ABDEKL/C,IKL/FHJ,1,True,True,False,False,True,True,True,True
BCDEKL/A,GIKL/FJ,1,True,True,False,False,True,True,True,True
ABEKL/CD,IKL/FHJ,1,True,True,False,False,True,True,True,True
AKL/BCDE,G/J,1,True,True,False,False,True,True,True,False
BCDEKL/A,KL/FGHJ,1,True,True,False,False,True,False,True,True
ABDEKL/C,FHJKL/GI,1,True,True,False,False,True,True,True,True
ABEKL/CD,FJ/H,1,True,True,False,False,True,True,True,False
BCDEKL/A,HIKL/FJ,1,True,True,False,False,True,True,True,True
BCDEL/AK,G/FHJK,1,True,True,True,True,True,True,True,False
CDE/ABKL,G/HIKL,3,True,True,True,True,True,True,False,False
CDEKL/AB,F/GIJ,1,True,True,False,False,True,True,True,False
ABK/CDEL,HK/GIL,1,True,True,True,True,True,True,True,True
ACKL/BDE,FH/,1,True,False,False,False,True,True,True,False
BCDE/AKL,GIJ/FHKL,3,True,True,True,True,True,True,False,False
ABCEKL/D,FGHIKL/J,1,True,True,False,False,True,True,True,True
CDEKL/AB,KL/I,1,True,True,False,False,True,False,True,True
ABEKL/CD,FH/GJ,1,True,True,False,False,True,True,True,False
ABEKL/CD,FH/J,1,True,True,False,False,True,True,True,False
AB/CDEKL,FJ/HIKL,3,True,True,True,True,True,True,False,False
CDEKL/AB,FGJ/I,1,True,True,False,False,True,True,True,False
CDEKL/AB,FJ/G,1,True,True,False,False,True,True,True,False
AKL/BCDE,HKL/FGIJ,1,True,True,False,False,True,True,True,True
ACDKL/BE,FGHIKL/,1,True,False,False,False,True,True,True,True
ABCDEKL/,IKL/FH,1,False,True,False,False,True,True,True,True
ACDKL/BE,KL/FH,1,True,True,False,False,True,False,True,True
ABEKL/CD,KL/,1,True,False,False,False,True,False,True,True
KL/ABCDE,GIKL/FJ,1,True,True,False,False,False,True,True,True
ABKL/CDE,G/I,1,True,True,False,False,True,True,True,False
ABK/CDEL,GJ/IL,1,True,True,True,True,True,True,True,False
CKL/ABDE,GIKL/FHJ,1,True,True,False,False,True,True,True,True
ABDEKL/C,HIKL/G,1,True,True,False,False,True,True,True,True
CDKL/ABE,GJ/I,1,True,True,False,False,True,True,True,False
AKL/BCDE,HKL/,1,True,False,False,False,True,True,True,True
ABEK/CDL,FJ/GIL,1,True,True,True,True,True,True,True,False
ABCEKL/D,FGHJKL/I,1,True,True,False,False,True,True,True,True
CL/ABDEK,G/FHJK,1,True,True,True,True,True,True,True,False
BCDEKL/A,FHKL/I,1,True,True,False,False,True,True,True,True
CDKL/ABE,GIKL/FJ,1,True,True,False,False,True,True,True,True
ABDEKL/C,GIKL/FHJ,1,True,True,False,False,True,True,True,True
ACDKL/BE,I/G,1,True,True,False,False,True,True,True,False
ABCEKL/D,FHIKL/J,1,True,True,False,False,True,True,True,True
CDL/ABEK,L/FHJK,1,True,True,True,True,True,False,True,True
ABDEKL/C,FHKL/GI,1,True,True,False,False,True,True,True,True
ABKL/CDE,FGIJ/,1,True,False,False,False,True,True,True,False
ABDEKL/C,HIKL/FJ,1,True,True,False,False,True,True,True,True
KL/ABCDE,J/G,1,True,True,False,False,False,True,True,False
ABCDKL/E,IKL/G,1,True,True,False,False,True,True,True,True
CKL/ABDE,G/J,1,True,True,False,False,True,True,True,False
BCDEL/AK,FGIJ/HK,1,True,True,True,True,True,True,True,False
BDE/ACKL,GIJ/FHKL,3,True,True,True,True,True,True,False,False
ABKL/CDE,J/GI,1,True,True,False,False,True,True,True,False
CKL/ABDE,FHJ/,1,True,False,False,False,True,True,True,False
BCDEKL/A,HIKL/G,1,True,True,False,False,True,True,True,True
CL/ABDEK,L/FHJK,1,True,True,True,True,True,False,True,True
ACKL/BDE,FHKL/I,1,True,True,False,False,True,True,True,True
KL/ABCDE,I/G,1,True,True,False,False,False,True,True,False
ABDEKL/C,GHIKL/FJ,1,True,True,False,False,True,True,True,True
ABK/CDEL,K/L,1,True,False,True,True,True,False,True,True
CDKL/ABE,FGHIKL/J,1,True,True,False,False,True,True,True,True
ABEKL/CD,HKL/FGIJ,1,True,True,False,False,True,True,True,True
ABEKL/CD,I/GJ,1,True,True,False,False,True,True,True,False
BCDE/AKL,I/KL,3,True,False,True,True,True,True,False,False
CDEKL/AB,F/J,1,True,True,False,False,True,True,True,False
CDEKL/AB,IKL/H,1,True,True,False,False,True,True,True,True
CDEL/ABK,IL/HK,1,True,True,True,True,True,True,True,True
AKL/BCDE,FHJ/G,1,True,True,False,False,True,True,True,False
