sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
DL/BCEK,FGHIJL/K,1,True,False,True,True,True,True,True,True
B/CDEKL,IJ/FGHKL,3,True,True,True,True,True,True,False,False
DEKL/BC,F/IJ,1,True,True,False,False,True,True,True,False
BCDEKL/,GKL/FH,1,False,True,False,False,True,True,True,True
BC/DEKL,I/GHKL,3,True,True,True,True,True,True,False,False
B/CDEKL,FH/GKL,3,True,True,True,True,True,True,False,False
BCK/DEL,IK/GHL,1,True,True,True,True,True,True,True,True
BCEK/DL,K/GHL,1,True,True,True,True,True,False,True,True
BCK/DEL,K/GL,1,True,True,True,True,True,False,True,True
B/CDEKL,/FGHIJKL,1,True,True,True,True,True,False,False,False
DEL/BCK,GHL/K,1,True,False,True,True,True,True,True,True
BC/DEKL,FHJ/GIKL,3,True,True,True,True,True,True,False,False
BC/DEKL,IJ/GKL,3,True,True,True,True,True,True,False,False
DEL/BCK,GHL/FIJK,1,True,True,True,True,True,True,True,True
BC/DEKL,FJ/GHIKL,3,True,True,True,True,True,True,False,False
B/CDEKL,FHJ/GKL,3,True,True,True,True,True,True,False,False
DEKL/BC,GKL/FHIJ,1,True,True,False,False,True,True,True,True
B/CDEKL,I/GHKL,3,True,True,True,True,True,True,False,False
BC/DEKL,IJ/FGHKL,3,True,True,True,True,True,True,False,False
BC/DEKL,FIJ/GHKL,3,True,True,True,True,True,True,False,False
BCDEKL/,GKL/FHIJ,1,False,True,False,False,True,True,True,True
BCK/DEL,FHIJ/GL,1,True,True,True,True,True,True,True,False
DEL/BCK,J/IK,1,True,True,True,True,True,True,True,False
DEKL/BC,GHIKL/FJ,1,True,True,False,False,True,True,True,True
BC/DEKL,H/GIKL,3,True,True,True,True,True,True,False,False
BC/DEKL,FH/GIJKL,3,True,True,True,True,True,True,False,False
DEKL/BC,GKL/H,1,True,True,False,False,True,True,True,True
CDEKL/B,GHIKL/FJ,1,True,True,False,False,True,True,True,True
DEL/BCK,GL/K,1,True,False,True,True,True,True,True,True
BC/DEKL,I/FGHJKL,3,True,True,True,True,True,True,False,False
BC/DEKL,FHJ/GKL,3,True,True,True,True,True,True,False,False
DEKL/BC,H/FJ,1,True,True,False,False,True,True,True,False
DL/BCEK,FIJ/K,1,True,False,True,True,True,True,True,False
BCK/DEL,FIJK/GHL,1,True,True,True,True,True,True,True,True
CDEKL/B,GKL/IJ,1,True,True,False,False,True,True,True,True
DEL/BCK,F/IJK,1,True,True,True,True,True,True,True,False
DEKL/BC,H/F,1,True,True,False,False,True,True,True,False
BCEK/DL,IJK/GL,1,True,True,True,True,True,True,True,True
DL/BCEK,FGHJL/IK,1,True,True,True,True,True,True,True,True
BCEK/DL,IK/GHL,1,True,True,True,True,True,True,True,True
DEKL/BC,FJ/I,1,True,True,False,False,True,True,True,False
DEKL/BC,H/FIJ,1,True,True,False,False,True,True,True,False
DEL/BCK,GHL/IK,1,True,True,True,True,True,True,True,True
DEL/BCK,FGHJL/K,1,True,False,True,True,True,True,True,True
CDEKL/B,GIKL/J,1,True,True,False,False,True,True,True,True
B/CDEKL,FHJ/GIKL,3,True,True,True,True,True,True,False,False
DEL/BCK,GL/IK,1,True,True,True,True,True,True,True,True
BC/DEKL,H/GKL,3,True,True,True,True,True,True,False,False
DL/BCEK,I/K,1,True,False,True,True,True,True,True,False
B/CDEKL,I/FGHJKL,3,True,True,True,True,True,True,False,False
DEKL/BC,I/,1,True,False,False,False,True,True,True,False
BCDEKL/,FGHKL/IJ,1,False,True,False,False,True,True,True,True
BCK/DEL,FHJ/GL,1,True,True,True,True,True,True,True,False
BCEK/DL,IK/GL,1,True,True,True,True,True,True,True,True
DEKL/BC,FHIJ/,1,True,False,False,False,True,True,True,False
DL/BCEK,GHL/IK,1,True,True,True,True,True,True,True,True
BCEK/DL,FHIJK/GL,1,True,True,True,True,True,True,True,True
DL/BCEK,GL/FHIJK,1,True,True,True,True,True,True,True,True
DEL/BCK,IJ/K,1,True,False,True,True,True,True,True,False
B/CDEKL,H/GIKL,3,True,True,True,True,True,True,False,False
DEKL/BC,J/,1,True,False,False,False,True,True,True,False
DEL/BCK,FGHJL/IK,1,True,True,True,True,True,True,True,True
BC/DEKL,I/FGHKL,3,True,True,True,True,True,True,False,False
CDEKL/B,GKL/H,1,True,True,False,False,True,True,True,True
CDEKL/B,GKL/FHIJ,1,True,True,False,False,True,True,True,True
CDEKL/B,GIKL/FHJ,1,True,True,False,False,True,True,True,True
B/CDEKL,J/FGHIKL,3,True,True,True,True,True,True,False,False
DEKL/BC,GHIKL/,1,True,False,False,False,True,True,True,True
BCK/DEL,IJK/GL,1,True,True,True,True,True,True,True,True
DL/BCEK,J/IK,1,True,True,True,True,True,True,True,False
DEL/BCK,FGHIJL/K,1,True,False,True,True,True,True,True,True
B/CDEKL,I/FGHKL,3,True,True,True,True,True,True,False,False
BCK/DEL,K/FGHJL,1,True,True,True,True,True,False,True,True
DEKL/BC,FGHJKL/,1,True,False,False,False,True,True,True,True
CDEKL/B,FGHJKL/I,1,True,True,False,False,True,True,True,True
BCDEKL/,GHIKL/FJ,1,False,True,False,False,True,True,True,True
DEL/BCK,GL/FHIJK,1,True,True,True,True,True,True,True,True
CDEKL/B,GHKL/I,1,True,True,False,False,True,True,True,True
DEKL/BC,GKL/,1,True,False,False,False,True,True,True,True
BCDEKL/,GIKL/FHJ,1,False,True,False,False,True,True,True,True
DEKL/BC,GHKL/FIJ,1,True,True,False,False,True,True,True,True
B/CDEKL,I/GKL,3,True,True,True,True,True,True,False,False
DEKL/BC,F/,1,True,False,False,False,True,True,True,False
DEKL/BC,J/I,1,True,True,False,False,True,True,True,False
BCK/DEL,J/FGHL,1,True,True,True,True,True,True,True,False
BCDEKL/,GIJKL/FH,1,False,True,False,False,True,True,True,True
BCK/DEL,IK/GL,1,True,True,True,True,True,True,True,True
DEKL/BC,GIJKL/,1,True,False,False,False,True,True,True,True
B/CDEKL,H/GKL,3,True,True,True,True,True,True,False,False
DEKL/BC,IJ/,1,True,False,False,False,True,True,True,False
DEKL/BC,GHKL/,1,True,False,False,False,True,True,True,True
DEKL/BC,I/J,1,True,True,False,False,True,True,True,False
B/CDEKL,J/GIKL,3,True,True,True,True,True,True,False,False
DEKL/BC,FIJ/,1,True,False,False,False,True,True,True,False
DEKL/BC,F/J,1,True,True,False,False,True,True,True,False
BCK/DEL,IK/FGHJL,1,True,True,True,True,True,True,True,True
DEKL/BC,GKL/I,1,True,True,False,False,True,True,True,True
BCEK/DL,H/GL,1,True,True,True,True,True,True,True,False
BCK/DEL,IJK/FGHL,1,True,True,True,True,True,True,True,True
CDEKL/B,GKL/FHJ,1,True,True,False,False,True,True,True,True
